context,p,decision
36,2,"[0.12218996978494392, -0.05156729988418257]"
36,3,"[0.07827003688484307, 0.003049224586821636]"
37,0,"[np.float64(-0.046775573028345466), np.float64(-0.17505068569753776)]"
37,1,"[-0.016401548012896273, 0.03290254851255279]"
37,2,"[np.float64(-0.054018138127155745), np.float64(-0.08943628475531559)]"
37,3,"[-0.03198836038629039, 0.001405142576116257]"
38,0,"[np.float64(0.28765873806513365), np.float64(-0.15090955864894723)]"
38,1,"[-0.08016415512758054, 0.010805331513166271]"
38,2,"[np.float64(0.1650709340976642), np.float64(-0.10790930649666342)]"
38,3,"[np.float64(0.14809151701090037), np.float64(-0.10278485080849528)]"
0,0,"[np.float64(-0.11446145531194828), np.float64(0.07062836513844316)]"
0,1,"[-0.06248778049622751, 0.09566898613072185]"
0,2,"[-0.06318411439105309, 0.0927701592338124]"
0,3,"[np.float64(-0.10169809117614984), np.float64(0.06674501476506339)]"
1,0,"[np.float64(0.3494506018486292), np.float64(-0.18356723916387147)]"
1,1,"[-0.011643227567335587, -0.07681636981187745]"
1,2,"[0.07328216687539003, -0.1456987136720469]"
1,3,"[np.float64(0.16171114856599972), np.float64(-0.1575350383493998)]"
2,0,"[np.float64(-0.08139790340768122), np.float64(0.09398192132433944)]"
2,1,"[-0.058246281722737256, 0.13812370869775742]"
2,2,"[-0.06890795076430112, 0.10506914358966433]"
2,3,"[-0.06537457467086696, 0.11808513101839449]"
3,0,"[np.float64(0.22599593046700373), np.float64(-0.4113945278688133)]"
3,1,"[0.13401680060546653, -0.2288920584443118]"
3,2,"[0.15526585816776575, -0.3048224221001117]"
3,3,"[0.13266914554500922, -0.2617094629651319]"
4,0,"[np.float64(0.4829476021552759), np.float64(0.1119580763084206)]"
4,1,"[0.046082386721095575, -0.17813693105166972]"
4,2,"[0.25489088347299454, -0.030377632471633317]"
4,3,"[np.float64(0.3392621467521731), np.float64(0.021264832504129208)]"
5,0,"[np.float64(0.32749093932100853), np.float64(-0.02438626472674177)]"
5,1,"[0.21087953448459765, -0.15643816663726545]"
5,2,"[0.2791471581680513, -0.05006104707845463]"
5,3,"[np.float64(0.29517572502658596), np.float64(-0.04117040082516499)]"
6,0,"[np.float64(0.5159170989906668), np.float64(0.1987204476517574)]"
6,1,"[0.28508159251666776, 0.09723574724973079]"
6,2,"[0.3785379922390666, 0.1469584112534966]"
6,3,"[np.float64(0.4515461486906836), np.float64(0.16765157218465)]"
7,0,"[np.float64(0.11668515676333818), np.float64(-0.1295963688803629)]"
7,1,"[0.04257019044908246, -0.01356525255911116]"
7,2,"[0.08231785766216, -0.05008432154315026]"
7,3,"[0.06913923884348296, -0.03691166274045099]"
8,0,"[np.float64(0.20229296137210953), np.float64(-0.06860846827819891)]"
8,1,"[0.17451102445219543, 0.029789498781516568]"
8,2,"[0.18826123076612344, 0.024949798812507036]"
8,3,"[np.float64(0.19296083010397425), np.float64(-0.04283281462080537)]"
9,0,"[np.float64(0.1935362530616317), np.float64(-0.34182055638164166)]"
9,1,"[-0.04132212260577589, -0.14658721369376998]"
9,2,"[0.07493740954578601, -0.21920421914716118]"
9,3,"[np.float64(0.13288411546408502), np.float64(-0.26887041420384244)]"
10,0,"[np.float64(-0.026686064281067155), np.float64(-0.24997629024468007)]"
10,1,"[-0.14476012551205347, -0.0729924245739964]"
10,2,"[-0.09816772119819492, -0.1816362253657763]"
10,3,"[np.float64(-0.06421167745016174), np.float64(-0.22256744149040814)]"
11,0,"[np.float64(0.27659953764125733), np.float64(-0.10460127370729183)]"
11,1,"[0.15332669517576136, -0.12386915224998371]"
11,2,"[0.16861894705175023, -0.1312726402994413]"
11,3,"[np.float64(0.2433298042701968), np.float64(-0.11740281592404127)]"
12,0,"[np.float64(-0.2590177910304311), np.float64(0.2877011962983805)]"
12,1,"[-0.21955066639012893, 0.060236148552282015]"
12,2,"[-0.2438536441524799, 0.11782150486422538]"
12,3,"[np.float64(-0.2521432390066114), np.float64(0.18595438376634676)]"
13,0,"[np.float64(0.3206008734420922), np.float64(-0.0027005676069769696)]"
13,1,"[0.36935660635610107, 0.10537218732781253]"
13,2,"[0.3719290135936938, 0.09366894259876868]"
13,3,"[np.float64(0.33345334207382565), np.float64(0.021406038576838086)]"
14,0,"[np.float64(0.7335557740407248), np.float64(0.2619353730607887)]"
14,1,"[0.435027320750838, 0.013705895993246078]"
14,2,"[0.5921816051252977, 0.1383196627377279]"
14,3,"[0.5661865460854052, 0.11140745637980913]"
15,0,"[np.float64(-0.3082458165687209), np.float64(0.3674911848303833)]"
15,1,"[-0.09425511574263426, 0.07111014596976636]"
15,2,"[-0.13489977380278595, 0.13376891559972967]"
15,3,"[-0.12926471607358012, 0.1255275008560565]"
16,0,"[np.float64(0.0001520476804063725), np.float64(0.417032738238136)]"
16,1,"[0.012750589565031174, -0.03136970797750166]"
16,2,"[0.015063505794975299, 0.07529961938761644]"
