context,p,decision
21,2,"[-0.05556322104798749, -0.25599960533680394]"
21,3,"[np.float64(-0.05235583220352406), np.float64(-0.25004698250528834)]"
22,0,"[np.float64(-0.11185925899815785), np.float64(-0.0603508718574976)]"
22,1,"[-0.22429936721608681, -0.09069721986235425]"
22,2,"[-0.16254990982354184, -0.07493734176253204]"
22,3,"[np.float64(-0.1271390375003603), np.float64(-0.06880683864998385)]"
23,0,"[np.float64(0.22855012142600617), np.float64(0.4408834608458335)]"
23,1,"[0.298670356697051, 0.4853639048993759]"
23,2,"[0.2518871503491051, 0.46719841430132114]"
23,3,"[np.float64(0.239007567912548), np.float64(0.452852699120458)]"
24,0,"[np.float64(-0.32165652377561876), np.float64(-0.037635430793141716)]"
24,1,"[-0.1893124788692065, -0.02422637775271258]"
24,2,"[-0.2763114309637144, -0.024097490488644457]"
24,3,"[np.float64(-0.30297104715125245), np.float64(-0.029339347266233162)]"
25,0,"[np.float64(0.05070525492211738), np.float64(-0.06718633590127272)]"
25,1,"[-0.02014861355734315, 0.07795237007396422]"
25,2,"[0.004639933437027007, 0.007511973399017352]"
25,3,"[-0.02630133324864864, 0.07527233307041997]"
26,0,"[np.float64(-0.07969820804708784), np.float64(-0.1642223229934261)]"
26,1,"[-0.13610237726832475, -0.16241971311892955]"
26,2,"[np.float64(-0.10879248554151143), np.float64(-0.17760074279013513)]"
26,3,"[-0.15198859986159735, -0.18097551085216057]"
27,0,"[np.float64(-0.09065059402246632), np.float64(0.12373347605965135)]"
27,1,"[-0.08183869481425803, 0.007307981852155948]"
27,2,"[np.float64(-0.07221445850862934), np.float64(0.0881398393687334)]"
27,3,"[np.float64(-0.09382194367247362), np.float64(0.10015565411003806)]"
28,0,"[np.float64(-0.09059158989206884), np.float64(0.07633858066581624)]"
28,1,"[0.07788025351886392, 0.0925855144990772]"
28,2,"[0.07029127517564102, 0.0515274496077834]"
28,3,"[0.01130373345906878, 0.0025330395989976925]"
