context,p_value,agent,satisfaction
32,1,73.0,0.26045927652871975
32,2,95.0,0.21304307217205976
32,2,19.0,0.010451656088913524
32,2,99.0,0.5771859322293221
32,2,47.0,0.19661604328001792
32,2,83.0,0.07445760460949646
32,2,11.0,0.20113170728157226
32,2,61.0,0.034280117471586
32,2,26.0,0.20805955312777263
32,2,9.0,0.26276342760400934
32,2,73.0,0.16787484880460996
32,3,95.0,0.2650326161985478
32,3,19.0,0.041537887937574534
32,3,99.0,0.5251963882028341
32,3,47.0,0.14462649925352988
32,3,83.0,0.12644714863598452
32,3,11.0,0.2531212513080603
32,3,61.0,0.08626966149807405
32,3,26.0,0.1560700091012846
32,3,9.0,0.3147529716304974
32,3,73.0,0.219864392831098
33,0,0.0,0.3451499543012234
33,0,41.0,0.3473819356985882
33,0,87.0,0.2640330164051143
33,0,1.0,0.07290270931125964
33,0,16.0,0.14926509943464927
33,0,29.0,0.3693739168105472
33,0,79.0,0.6350643805549168
33,0,15.0,0.22788229717808117
33,0,28.0,0.36945186462073154
33,0,53.0,0.2197715792400402
33,1,0.0,0.20629987201837113
33,1,41.0,0.20853185341573593
33,1,87.0,0.12518293412226197
33,1,1.0,0.21175279159411198
33,1,16.0,0.010415017151796956
33,1,29.0,0.23052383452769487
33,1,79.0,0.49621429827206437
33,1,15.0,0.08903221489522886
33,1,28.0,0.23060178233787926
33,1,53.0,0.0809214969571879
33,2,0.0,0.32051309195788014
33,2,41.0,0.32274507335524494
33,2,87.0,0.239396154061771
33,2,1.0,0.09753957165460292
33,2,16.0,0.124628237091306
33,2,29.0,0.34473705446720393
33,2,79.0,0.6104275182115735
33,2,15.0,0.2032454348347379
33,2,28.0,0.34481500227738826
33,2,53.0,0.19513471689669692
33,3,0.0,0.2678471653924442
33,3,41.0,0.270079146789809
33,3,87.0,0.18673022749633506
33,3,1.0,0.15020549822003887
33,3,16.0,0.07196231052587004
33,3,29.0,0.292071127901768
33,3,79.0,0.5577615916461375
33,3,15.0,0.15057950826930194
33,3,28.0,0.2921490757119523
33,3,53.0,0.14246879033126097
34,0,2.0,0.16759654123215642
34,0,44.0,0.31475790492529176
34,0,6.0,0.07957032781475148
34,0,20.0,0.29129146375270054
34,0,5.0,0.33185968636629026
34,0,12.0,0.40644458639654435
34,0,39.0,0.21163617860586398
34,0,34.0,0.013595149531414335
34,0,78.0,0.1352104656673087
34,0,86.0,0.4509653701456416
34,1,2.0,0.09874394074984592
34,1,44.0,0.24590530444298125
34,1,6.0,0.010717727332440974
34,1,20.0,0.22243886327039003
34,1,5.0,0.26300708588397975
34,1,12.0,0.47529718687885486
34,1,39.0,0.2804887790881745
34,1,34.0,0.055257450950896174
34,1,78.0,0.06635786518499821
34,1,86.0,0.5198179706279521
34,2,2.0,0.10397617877521775
34,2,44.0,0.2511375424683531
34,2,6.0,0.01594996535781281
34,2,20.0,0.22767110129576187
34,2,5.0,0.2682393239093516
34,2,12.0,0.470064948853483
34,2,39.0,0.2752565410628026
34,2,34.0,0.05002521292552434
34,2,78.0,0.07159010321037004
34,2,86.0,0.5145857326025802
34,3,2.0,0.10744035991407036
34,3,44.0,0.25460172360720573
34,3,6.0,0.019414146496665417
34,3,20.0,0.23113528243461448
34,3,5.0,0.27170350504820423
34,3,12.0,0.4666007677146304
34,3,39.0,0.27179235992395
34,3,34.0,0.04656103178667173
34,3,78.0,0.07505428434922265
34,3,86.0,0.5111215514637276
35,0,78.0,0.45178941646646603
35,0,65.0,0.04409122300799269
35,0,42.0,0.17953020420439636
35,0,54.0,0.20546910438211802
35,0,85.0,0.030825473924558592
35,0,82.0,0.13854449125685198
35,0,2.0,0.31279908571068327
35,0,77.0,0.004735988013365156
35,0,21.0,0.22186696273246548
35,0,25.0,0.01906335653453308
35,0,26.0,0.024051713715677315
35,0,94.0,0.3125127318525303
35,0,64.0,0.2777590707816721
35,0,76.0,0.41617730735686415
35,0,84.0,0.13242341731818996
35,0,37.0,0.04544064376768195
35,0,61.0,0.20030257407478558
35,0,22.0,0.10756909100178494
35,0,6.0,0.10894628961032002
35,0,14.0,0.06591904635380931
